A21O5ULBAZD8SZ,0.0,0.0,1.0,5.0,0.2352941176,21.0,0
A2U1WQYFE8E63W,0.0,0.0,1.0,0.0,4.0,5.0,3
A29C6EN5ADR5PD,0.4,0.0,0.6,1.6666666667,0.0,5.0,1
ADSQBJ07R4B9B,0.2,0.0,0.8,0.0,0.25,5.0,1
A3KFXTFDSLOL79,0.2,0.0,0.8,0.0,1.5,5.0,1
A24QA99TB8OTA7,0.0,0.2,0.8,0.0,1.0,10.0,1
A38Z4B8AU37IMR,0.3333333333,0.0,0.6666666667,1.0,0.5,6.0,1
A7P7OP5UW6APV,0.0,0.1666666667,0.8333333333,1.2857142857,0.5,6.0,1
A1DE5SY7SITVIU,0.4285714286,0.0,0.5714285714,2.380952381,0.4,7.0,0
AGJCRK8QR0UO0,0.0,0.2,0.8,0.0,0.25,5.0,1
ADO9A0TYX5GDU,0.0,0.2,0.8,1.0,4.0,5.0,3
A317QVSSNIOPMU,0.0,0.2,0.8,3.0,0.0,5.0,0
AFM7FK7NFEKFZ,0.0,0.0,1.0,4.7174603175,0.0,8.0,0
A287DMSRR6HRFL,0.4,0.6,0.0,1.0,1.5,5.0,3
A1CVGV0RJHIG3H,0.3333333333,0.1666666667,0.5,0.0,0.5,6.0,1
A1088U89A8HWJX,0.0,0.6,0.4,2.0,0.6666666667,5.0,1
A11NCQN1Q2IWT4,0.2,0.0,0.8,1.0,0.25,5.0,1
A3BKEZ129G9JE9,0.2,0.2,0.6,0.0,0.25,10.0,1
A2OY0RKXHQVD3E,0.0,0.1428571429,0.8571428571,2.0,0.4,7.0,1
A1TKVMFVM1W2EB,0.0,0.0909090909,0.9090909091,1.0,1.75,11.0,1
A7OCUC9MX712N,0.1666666667,0.0,0.8333333333,1.0,0.2,6.0,1
A1DWVA2JDP7HTH,0.0,0.1111111111,0.8888888889,1.0,1.25,9.0,1
A3Q35M74RGSHIX,0.0,0.0,1.0,1.0,0.25,5.0,1
